X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-1.850	  0.000	  1.233	  0.000	  0.001	 -0.000	  0.389	  0.000	  0.000	  0.000	 -0.007	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.000	  0.000	  4.955	 
-1.837	  0.000	  1.233	  0.000	  0.001	 -0.000	  0.390	  0.000	  0.000	  0.000	 -0.007	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.000	  0.000	  4.990	 
-1.824	  0.000	  1.233	  0.000	  0.001	 -0.000	  0.391	  0.000	 -0.000	  0.000	 -0.007	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.000	  0.000	  5.023	 
-1.811	  0.000	  1.233	  0.000	  0.000	 -0.000	  0.392	 -0.000	 -0.000	  0.000	 -0.007	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.057	 
-1.798	  0.000	  1.233	  0.000	  0.000	 -0.000	  0.393	 -0.000	 -0.000	 -0.000	 -0.007	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.090	 
-1.785	  0.000	  1.233	  0.000	 -0.000	 -0.000	  0.394	 -0.000	 -0.000	 -0.000	 -0.006	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.123	 
-1.772	  0.000	  1.233	  0.000	 -0.000	 -0.000	  0.395	 -0.000	  0.000	 -0.000	 -0.006	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.156	 
-1.759	  0.000	  1.233	  0.000	 -0.000	 -0.000	  0.395	 -0.000	  0.000	 -0.000	 -0.005	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.190	 
-1.745	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.396	 -0.000	  0.000	 -0.000	 -0.005	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  5.223	 
-1.732	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.396	 -0.000	  0.000	 -0.000	 -0.004	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  5.257	 
-1.719	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.396	 -0.000	  0.000	 -0.000	 -0.004	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  5.290	 
-1.706	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.396	 -0.000	  0.000	 -0.000	 -0.003	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  5.323	 
-1.693	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.396	 -0.000	  0.000	 -0.000	 -0.002	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  5.357	 
-1.679	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.396	 -0.000	  0.000	 -0.000	 -0.002	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  5.390	 
-1.666	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.395	 -0.000	  0.000	  0.000	 -0.001	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  5.423	 
-1.653	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.395	  0.000	  0.000	  0.000	 -0.000	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  5.457	 
-1.640	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.394	  0.000	  0.000	  0.000	  0.000	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  5.490	 
-1.627	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.394	  0.000	  0.000	  0.000	  0.001	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.524	 
-1.614	  0.000	  1.233	 -0.000	 -0.001	 -0.000	  0.393	  0.000	  0.000	  0.000	  0.001	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.557	 
-1.601	  0.000	  1.233	  0.000	 -0.001	 -0.000	  0.392	  0.000	  0.000	  0.000	  0.002	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.590	 
-1.588	  0.000	  1.233	  0.000	 -0.001	 -0.000	  0.392	  0.000	  0.000	  0.000	  0.002	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.623	 
-1.574	  0.000	  1.233	  0.000	 -0.001	 -0.000	  0.391	  0.000	  0.000	  0.000	  0.003	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.657	 
-1.561	  0.000	  1.233	  0.000	 -0.001	 -0.000	  0.390	  0.000	  0.000	  0.000	  0.003	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  5.690	 
-1.549	  0.000	  1.233	  0.000	 -0.001	 -0.000	  0.389	  0.000	 -0.000	  0.000	  0.003	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.000	  0.000	  5.726	 
