X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-2.395	  0.000	  0.292	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.017	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.726	 
-2.385	  0.000	  0.292	  0.000	  0.001	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.018	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.758	 
-2.376	  0.000	  0.292	  0.000	  0.001	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.019	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.792	 
-2.366	  0.000	  0.292	  0.000	 -0.000	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.020	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.825	 
-2.357	  0.000	  0.292	  0.000	 -0.001	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.020	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.862	 
-2.347	  0.000	  0.292	 -0.000	 -0.001	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.019	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.895	 
-2.338	  0.000	  0.292	 -0.000	 -0.002	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.019	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.929	 
-2.329	  0.000	  0.292	 -0.000	 -0.003	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.018	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.962	 
-2.319	  0.000	  0.292	 -0.000	 -0.003	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.017	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.996	 
-2.310	  0.000	  0.292	 -0.000	 -0.004	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.016	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.028	 
